Eintrag;Datum;Schlusskurs
1;01.06.2006;29.87
2;02.06.2006;30.36
3;05.06.2006;30.24
4;06.06.2006;29.03
5;07.06.2006;28.65
6;08.06.2006;27.36
7;09.06.2006;27.88
8;12.06.2006;27.4
9;13.06.2006;26.46
10;14.06.2006;26.66
11;15.06.2006;28.19
12;16.06.2006;27.49
13;19.06.2006;27.82
14;20.06.2006;28.16
15;21.06.2006;28.13
16;22.06.2006;28.4
17;23.06.2006;28.43
18;26.06.2006;29.08
19;27.06.2006;28.5
20;28.06.2006;28.25
21;29.06.2006;28.87
22;30.06.2006;29.41
23;03.07.2006;29.98
24;04.07.2006;29.64
25;05.07.2006;29.43
26;06.07.2006;30.13
27;07.07.2006;29.54
28;10.07.2006;29.64
29;11.07.2006;29.21
30;12.07.2006;30.04
31;13.07.2006;29.72
32;14.07.2006;28.7
33;17.07.2006;27.85
34;18.07.2006;28
35;19.07.2006;28.34
36;20.07.2006;28.25
37;21.07.2006;27.41
38;24.07.2006;28.2
39;25.07.2006;28.4
40;26.07.2006;28.8
41;27.07.2006;29.5
42;28.07.2006;29.5
43;31.07.2006;30.61
44;01.08.2006;29.75
45;02.08.2006;29.74
46;03.08.2006;28.2
47;04.08.2006;28.4
48;07.08.2006;27.7
49;08.08.2006;27.5
50;09.08.2006;26.81
51;10.08.2006;26.14
52;11.08.2006;26.38
53;14.08.2006;27.1
54;15.08.2006;27.66
55;16.08.2006;27.75
56;17.08.2006;28.32
57;18.08.2006;28.1
58;21.08.2006;27.9
59;22.08.2006;27.86
60;23.08.2006;27.6
61;24.08.2006;27.57
62;25.08.2006;27.25
63;28.08.2006;26.93
64;29.08.2006;27.79
65;30.08.2006;27.27
66;31.08.2006;27.29
67;01.09.2006;27.33
68;04.09.2006;27.69
69;05.09.2006;27.49
70;06.09.2006;27.1
71;07.09.2006;26.5
72;08.09.2006;26.41
73;11.09.2006;26.19
74;12.09.2006;26.64
75;13.09.2006;26.98
